table_number,table_name,month,period,period_name,geography,Type,category,value,units
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2009,marketing year,US,Area,area_harvested,7533.7,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2010,marketing year,US,Area,area_harvested,10698.7,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2011,marketing year,US,Area,area_harvested,9460.9,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2012,marketing year,US,Area,area_harvested,9321.8,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2013,marketing year,US,Area,area_harvested,7539.4,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2014,marketing year,US,Area,area_harvested,9351.8,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2015,marketing year,US,Area,area_harvested,8074.9,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2016,marketing year,US,Area,area_harvested,9507.8,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2017,marketing year,US,Area,area_harvested,11100.4,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2018,marketing year,US,Area,area_harvested,9976.8,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2019,marketing year,US,Area,area_harvested,11489.4,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2020,marketing year,US,Area,area_harvested,8210.5,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2021,marketing year,US,Area,area_harvested,10263.2,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2022,marketing year,US,Area,area_harvested,7289.6,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2023,marketing year,US,Area,area_harvested,6439.6,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2024,marketing year,US,Area,area_harvested,7805.2,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2025,marketing year,US,Area,area_harvested,7368.9,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1975,marketing year,US,Area,area_harvested,8730,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1976,marketing year,US,Area,area_harvested,10869,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1977,marketing year,US,Area,area_harvested,13201,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1978,marketing year,US,Area,area_harvested,12324,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1979,marketing year,US,Area,area_harvested,12742,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1980,marketing year,US,Area,area_harvested,13143,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1981,marketing year,US,Area,area_harvested,13783,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1982,marketing year,US,Area,area_harvested,9663,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1983,marketing year,US,Area,area_harvested,7285,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1984,marketing year,US,Area,area_harvested,10300,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1985,marketing year,US,Area,area_harvested,10145,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1986,marketing year,US,Area,area_harvested,8357,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1987,marketing year,US,Area,area_harvested,9894,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1988,marketing year,US,Area,area_harvested,11759,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1989,marketing year,US,Area,area_harvested,9166,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1990,marketing year,US,Area,area_harvested,11505,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1991,marketing year,US,Area,area_harvested,12716,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1992,marketing year,US,Area,area_harvested,10863,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1993,marketing year,US,Area,area_harvested,12594,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1994,marketing year,US,Area,area_harvested,13156,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1995,marketing year,US,Area,area_harvested,15796,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1996,marketing year,US,Area,area_harvested,12632,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1997,marketing year,US,Area,area_harvested,13157,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1998,marketing year,US,Area,area_harvested,10449,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1999,marketing year,US,Area,area_harvested,13138,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2000,marketing year,US,Area,area_harvested,12884,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2001,marketing year,US,Area,area_harvested,13560,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2002,marketing year,US,Area,area_harvested,12174,"1,000 acres"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2003,marketing year,US,Area,area_harvested,11826,"1,000 acres"
